RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31
102001,0,United States,country,,0.9818181818181818,0.9836363636363636,0.9873417721518988,0.9899860917941585,0.992080033347228,0.9928443649373881,0.9907692307692307,0.9880239520958084,0.9862758781111887,0.9844290657439446,0.9832635983263598,0.9817620238270334,0.9803030303030303,0.9825,0.9851301115241635,0.9876543209876543,0.989724175229854,0.9904761904761905,0.9894736842105263,0.9877551020408163,0.9864864864864865,0.9854927463731866,0.9849104366602028,0.9836065573770492,0.9817850637522769,0.9846153846153847,0.9888888888888889,0.9922865227334393,0.9900990099009901,0.9921671018276762,0.9959780130662002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0023085802231628,1.008695652173913,1.0058823529411764,1.0002857959416975,1.0,1.0,1.0,1.0,1.0,1.0,1.003076923076923,1.013157894736842,1.0140093395597065,1.0064,1.0,1.0,1.0,0.9937777777777778,0.9894736842105263,0.9855769230769231,0.983132530120482,0.9866666666666667,0.9944289693593314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9933333333333333,0.989010989010989
394913,1,"New York, NY",msa,NY,0.9777777777777777,0.9768009768009768,0.9785202863961814,0.9795748228428511,0.9801324503311258,0.9844458781072962,0.9843780761814881,0.9834047562843118,0.9814471243042672,0.9792060491493384,0.9781700818326808,0.9781659388646288,0.9752438109527382,0.9750040625169272,0.9758846508805421,0.977728285077951,0.9806451612903225,0.9823008849557522,0.9819639278557114,0.9818181818181818,0.9797917942437232,0.9785445056538127,0.9777799506221125,0.9782608695652174,0.9770900284533006,0.9758203799654577,0.9789473684210527,0.983345898396415,0.9818451278251205,0.9819639278557114,0.9869642458675912,0.9928578520418294,0.9978213507625272,1.0,1.0,1.0,0.9955481344032344,0.9928443649373881,0.9939393939393939,1.0,1.0,1.0,1.0006006006006005,1.000217438573603,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0008340283569641,1.0092449922958397,1.0140845070422535,1.0101474314285184,1.0014306151645207,1.0,1.0,1.0,1.0,0.9891086908201823,0.9872340425531915,0.9949681123626046,1.0,1.0,1.0033094019661373,1.0106326981787557,1.0068214782872877,1.0023529411764707,1.0000018350202025,1.0,1.0
753899,2,"Los Angeles, CA",msa,CA,0.997419851737749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966216216216216,0.9936904032881599,0.992,0.9911396537912505,0.9885057471264368,0.9910995658707218,0.9919839679358717,0.9944237918215614,0.9958674164962509,0.9971929824561403,0.9951974386339381,0.9956759314921295,0.9945872801082544,0.994301662984068,0.9966622162883845,0.994269340974212,0.9933341611124907,1.0,1.0,1.0,1.0,0.9986206896551724,1.0,1.0,1.0,1.0000019047655329,1.000217438573603,1.0001583791010222,1.0000220784099452,1.0009179220166482,1.0120940106647947,1.0203703703703704,1.0253164556962024,1.0292072322670376,1.0298538204591656,1.0222222222222221,1.0168067226890756,1.0164754339511621,1.0169011211377454,1.0177975528364849,1.0173681004727788,1.03125,1.0449181923044704,1.048951048951049,1.0401255648733125,1.0247505725238046,1.0048662088562632,1.0,1.0,0.99581589958159,0.9932069190400739,0.9887359198998749,0.9869130100076983,0.9928571428571429,1.0,1.0,1.001669449081803,1.0062486881744328,1.006904487917146,1.0072376357056694,1.000900900900901,1.000058826989823,1.0,1.0
394463,3,"Chicago, IL",msa,IL,0.9712622771917061,0.9726713718460983,0.9769713886950454,0.9799918334013883,0.9811465948441709,0.9815100154083205,0.9805555555555555,0.9788439712911012,0.9767718880285885,0.975609756097561,0.9733036707452726,0.9720670391061452,0.9710939809835588,0.9734991887506761,0.9772738378124413,0.9792595999588976,0.9807692307692307,0.9806247528667458,0.9795081967213115,0.97868638538495,0.9776187917318985,0.9764229578471064,0.9754877438719359,0.9733036707452726,0.9717749138517213,0.9736842105263158,0.9787047346577828,0.9804902451225613,0.9777777777777777,0.9800323756888133,0.9834642242826697,0.9841269841269841,0.985204000347699,0.9855769230769231,0.985663082437276,0.9847288046340179,0.9838709677419355,0.9836825464062571,0.9908883826879271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993920972644377,0.9931408973992569,0.9883720930232558,1.0,1.0,1.0006064281382656,1.0057767890248424,1.0038476337052713,1.0,1.0,0.9940726105211163,0.9894566098945661,0.987012987012987,0.983083306734759,0.9812861522572067,0.9858663147068092,1.0,1.0,1.0,1.0002667377967458,1.000005000025,1.0,1.0,1.0,1.0,0.9911255601440998
394514,4,"Dallas, TX",msa,TX,0.987460815047022,0.9923032493113355,0.996315062158506,1.0,1.0,1.0,0.9978165938864629,0.9916707986455443,0.99,0.9882352941176471,0.9873417721518988,0.9850049250246251,0.9838723894974051,0.9867763084787199,0.989634879501337,0.9914925373134328,0.9916317991631799,0.9907668626909263,0.9906681631369216,0.9886020004652245,0.9866666666666667,0.9871794871794872,0.9874401868948266,0.9856088781085403,0.985336466468542,0.987385819921705,0.9904731660844712,0.9935782885211049,0.9923664122137404,0.9948717948717949,0.9976680744621074,0.9989473560652044,1.0,1.0,1.0,1.0,1.0,1.0,1.0021621621621621,1.0205479452054795,1.0303030303030303,1.0348615384615385,1.03,1.0216216216216216,1.0103986447520183,1.0050251256281406,1.0058500283966139,1.0072992700729928,1.0084033613445378,1.0222469410456063,1.044294741351317,1.0526315789473684,1.048524898516288,1.0306655995731626,1.0072760345611642,1.0,0.9965635738831615,0.9915966386554622,0.9873417721518988,0.9846153846153847,0.981863664790494,0.986159169550173,0.9964582699908786,1.0,1.0,1.0,1.0,0.9968652037617555,0.9924182705537783,0.9899927135320722,0.9868421052631579,0.9852207977207977
394692,5,"Houston, TX",msa,TX,0.9757575757575757,0.9772382397572079,0.9786019536019536,0.9818181818181818,0.9818405806037728,0.9823848238482384,0.9814623902252768,0.9811320754716981,0.9791400595998297,0.9783422064207302,0.9782514136581122,0.9776983555127625,0.9765133440045101,0.9787048948201346,0.9796806966618288,0.9815062345822274,0.9830508474576272,0.9830508474576272,0.9834426047338594,0.9807767752059631,0.98,0.9796084218438219,0.980669223909751,0.9792492422476101,0.9780821917808219,0.979757085020243,0.9825163755458515,0.9845916795069337,0.9829553992430293,0.9842105263157894,0.9858871471786794,0.9864176178946155,0.9866313492892977,0.9873060648801129,0.9876701569022417,0.9866666666666667,0.9865716634694437,0.9894179894179894,0.9960852544584602,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0013004681347282,1.0059058868355877,1.0000035714413267,1.0,1.0,0.9888579387186629,0.9861325115562404,0.9827586206896551,0.9807200332356671,0.9788867562380038,0.9814814814814815,0.9849246231155779,0.9916317991631799,0.9921313718782073,0.9920634920634921,,,0.9846153846153847,0.9838028169014085,0.9824578639641888,0.9792284866468842
395209,6,"Washington, DC",msa,VA,0.9932118613790639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9974993748437109,0.9942835857247239,0.9929701230228472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9967845659163987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000024099941944,1.009428979222732,1.016260162601626,1.022054421878134,1.0177544386096524,1.0089020771513353,1.0001724435247457,1.0,1.0,1.0,1.0,1.0,1.0055566728407477,1.02,1.0256410256410255,1.021505376344086,1.0078473611324819,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000250062515629,1.0066927458548276,1.0037735849056604,1.000189613665213,1.0,1.0,1.0,1.0,1.0
394974,7,"Philadelphia, PA",msa,PA,0.97868638538495,0.9795918367346939,0.9845105393765801,0.98559775304205,0.9894536596217101,0.99,0.9879963065558633,0.9859959988568162,0.984540532299337,0.9827586206896551,0.9810459810459811,0.9811320754716981,0.9787143465304385,0.9791400595998297,0.9838709677419355,0.9868023200940393,0.9904761904761905,0.9926842011366822,0.9904952476238119,0.9871018689128718,0.9849056603773585,0.9857142857142858,0.9854368932038835,0.9836612204068023,0.9791666666666666,0.9836236960540581,0.9891086908201823,0.9945187797998232,0.990990990990991,0.9940650728657597,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0003572704537336,1.00778065950352,1.0073529411764706,1.0002667377967458,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0142857142857142,1.0190554640307523,1.0182608695652173,1.0045226130653266,1.0,1.0,1.0,1.0,1.0,0.9917265305828356,1.0,1.0,1.0,1.0,1.0005408328826393,1.0005885815185402,1.0001190617930706,1.0,1.0,1.0,1.0
394856,8,"Miami, FL",msa,FL,0.9613160551336444,0.9633851468048359,0.9653407769248662,0.9651895851895851,0.9656652360515021,0.9666666666666667,0.966079568084259,0.9676016525331593,0.96875,0.9661016949152542,0.9655172413793104,0.9656777652905095,0.9627039627039627,0.9647913596129492,0.9655172413793104,0.9651733290436741,0.9666452717158751,0.967741935483871,0.9677431454668111,0.968,0.9660436957093972,0.96875,0.967741935483871,0.9662162162162162,0.9649974996428061,0.9665515157462082,0.9682804674457429,0.9701492537313433,0.9649122807017544,0.967741935483871,0.9705882352941176,0.9710144927536232,0.9710144927536232,0.9714285714285714,0.9723731137127722,0.9704168369191117,0.9712230215827338,0.9707947182809809,0.9739446319348795,0.9764521156822163,0.9799196787148594,0.984993362398783,0.9883720930232558,0.9882352941176471,0.9871336603310852,0.9863898323986444,0.9857142857142858,0.988844722948918,0.9873417721518988,0.9946811561972762,1.0,1.0,1.0,1.0,1.0,0.9867531765341985,0.9813084112149533,0.9779295787715717,0.9726775956284153,0.9719919954259577,0.9683938704087527,0.9708029197080292,0.9726443768996961,0.9722276234867971,0.973769188667935,0.9746835443037974,0.9772727272727273,0.9758340738568445,0.9777578743095985,0.9741379310344828,0.9726027397260274,0.9696969696969697
394347,9,"Atlanta, GA",msa,GA,0.9814953738434609,0.9853039346579754,0.9886020004652245,0.9932636326921419,0.9955039764780349,0.9938292759288876,0.992,0.9887111847415149,0.9882005899705014,0.986325114232091,0.9849234010519524,0.9845474613686535,0.9830976198689203,0.9856235388650045,0.9882352941176471,0.9895379069990489,0.9915966386554622,0.9904761904761905,0.990544697995502,0.9884678747940692,0.9870929880357413,0.9846844370873713,0.9859154929577465,0.9855839952927331,0.9826989619377162,0.9865053513261982,0.99,0.995260663507109,0.9936808846761453,0.9926862113946264,0.9956328055972359,0.9959951916638399,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026385224274406,1.00990099009901,1.0123076923076924,1.012002824193928,1.0075093867334168,1.0004001600640255,1.0000036109434491,1.0002994011976047,1.0002160787921581,1.0,1.0040446920063144,1.0147492625368733,1.0224719101123596,1.0235294117647058,1.0149253731343284,1.000250062515629,1.0,1.0,0.9920634920634921,0.9891086908201823,0.9871244635193133,0.9859154929577465,0.9909391193672535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9943820224719101,0.9912280701754386
